Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Michael Harris II","ATL",160,641,20,55,86,20,0.024960998,0.199687987,0.160392798,0.280851063,0.248772504,0.268445839,0.409165302,0.28865430508769535,0.3144595028850182,82.851702365906,2.0782668106257915,-10.949598142537658,2.9685784578323364,1.3653816156324283,"Michael Harris II",25931,671739
"Josh Smith","TEX",144,563,10,70,35,12,0.097690941,0.177619893,0.115151515,0.295336787,0.25050505,0.334525939,0.365656565,0.31112834688148977,0.3125875184861876,100.27388372736357,1.8812389187514782,2.0629775276175706,-4.180886507034302,1.7658767652046223,"Josh Smith",26396,669701
"TJ Friedl","CIN",152,685,14,82,53,12,0.118248175,0.167883211,0.117443868,0.301098901,0.260794473,0.364170337,0.378238341,0.33261985330679694,0.3005726309383617,108.56034180948117,1.8262391425669193,8.776096378781444,-3.4658615589141846,2.875017628483111,"TJ Friedl",19522,670770
"Mike Yastrzemski","- - -",147,558,17,68,46,7,0.129032258,0.193548387,0.169811321,0.263305322,0.232704402,0.332733812,0.402515723,0.3208266536610714,0.32703886552290484,105.9273420216054,1.7730711679905653,5.660238696528866,-1.4700887203216553,2.3499648120295236,"Mike Yastrzemski",14854,573262
"Xander Bogaerts","SDP",136,552,11,63,53,20,0.086956521,0.170289855,0.128309572,0.299492385,0.262729124,0.328493647,0.391038696,0.3131875612222365,0.32536425109303324,103.86734386363368,1.6729243714362383,4.203073225771392,8.944000720977783,3.2240973667702533,"Xander Bogaerts",12161,593428
"Masyn Winn","STL",129,537,9,72,51,9,0.063314711,0.189944134,0.109979634,0.30104712,0.252545824,0.310280373,0.362525458,0.29734385303247757,0.2844938474280812,91.42323105092078,1.5602387972176075,-3.898498599017759,20.136653423309326,3.4892941908841513,"Masyn Winn",27479,691026
"Wyatt Langford","TEX",134,573,22,73,62,22,0.129144851,0.263525305,0.190184049,0.29906542,0.241308793,0.343804537,0.431492842,0.3371595635748746,0.3442802295350192,118.20581472623358,1.5529479123651981,13.848196550375782,6.155039310455322,4.064361028991421,"Wyatt Langford",33333,694671
"Adolis García","TEX",135,547,19,58,75,13,0.051188299,0.246800731,0.16765286,0.266666666,0.226824457,0.270566727,0.394477317,0.2858046869655232,0.30421626939686064,82.82936211315248,1.4471911415457726,-9.622775970607385,-1.9154119491577148,0.745721448991881,"Adolis Garcia",19287,666969
"Bryce Harper","PHI",132,580,27,72,75,12,0.120689655,0.208620689,0.225548903,0.292134831,0.261477045,0.356896551,0.487025948,0.3609641829849536,0.36752010970165505,131.2467242056975,1.3539776168763638,22.833602543930724,-8.218193411827087,3.4696373755144654,"Bryce Harper",11579,547180
"Brandon Nimmo","NYM",155,652,25,81,92,13,0.076687116,0.216257668,0.173764907,0.301401869,0.262350936,0.324116743,0.436115843,0.3287401940272405,0.32111595740685095,114.08380106543058,1.3056755475699902,12.189002681578772,-4.538533926010132,3.002122093016406,"Brandon Nimmo",12927,607043
