,game_year,pitcher,player_name,Shape+,shape_rv,foul,barrel,solid,flr_brn,under,topped,weak,swstr,count,Name
136,2023,595411,"Sherriff, Ryan",83,-0.00932,17.9,1.4,1.2,4.1,3.5,6.4,0.4,6.6,104,Ryan Sherriff
137,2023,595928,"Curtiss, John",93,-0.00304,13.6,1.2,0.9,3.0,3.4,3.4,0.3,11.7,301,John Curtiss
138,2023,596001,"Junis, Jakob",103,0.00255,17.7,1.2,1.1,4.9,4.7,6.9,0.7,14.8,1382,Jakob Junis
139,2023,596057,"Norris, Daniel",90,-0.00484,14.7,1.5,0.9,3.7,4.5,3.3,0.9,11.7,258,Daniel Norris
140,2023,596112,"Stephenson, Robert",104,0.00308,18.3,1.4,1.1,4.2,3.9,6.3,0.5,16.3,763,Robert Stephenson
141,2023,596133,"Weaver, Luke",88,-0.00595,21.4,2.1,1.7,5.0,6.3,5.5,0.9,11.9,2258,Luke Weaver
142,2023,596271,"Lawrence, Casey",87,-0.00662,16.6,1.5,1.3,5.7,4.8,7.3,1.1,10.4,447,Casey Lawrence
143,2023,596295,"Gomber, Austin",83,-0.00933,15.0,2.0,1.7,4.3,5.0,4.5,0.9,11.6,2160,Austin Gomber
144,2023,598264,"Barnes, Matt",103,0.00273,15.0,1.2,0.8,3.7,3.2,5.1,0.7,15.7,400,Matt Barnes
145,2023,598286,"Ramirez, Nick",83,-0.009,11.4,1.5,1.0,4.2,4.1,5.0,1.1,9.1,658,Nick Ramirez
146,2023,600917,"Leclerc, José",114,0.00888,19.2,1.0,0.8,3.1,5.0,3.8,0.5,15.8,1216,José Leclerc
147,2023,600921,"Machado, Andrés",105,0.00363,23.1,1.3,0.9,5.0,4.2,8.7,1.4,12.9,774,Andrés Machado
148,2023,601713,"Pivetta, Nick",109,0.00604,18.5,1.1,0.9,3.1,4.0,4.3,0.3,16.1,2382,Nick Pivetta
149,2023,605130,"Barlow, Scott",106,0.00412,17.1,1.0,1.0,4.2,4.8,5.4,0.7,14.4,1197,Scott Barlow
150,2023,605135,"Bassitt, Chris",92,-0.00379,18.4,1.4,1.2,5.5,5.2,7.0,1.9,9.6,3138,Chris Bassitt
151,2023,605151,"Bradley, Archie",88,-0.00626,18.6,1.7,1.4,5.1,4.7,7.0,1.0,10.4,149,Archie Bradley
152,2023,605154,"Brebbia, John",105,0.00343,20.1,1.7,1.6,4.0,5.7,3.8,0.7,17.7,671,John Brebbia
153,2023,605155,"Brewer, Colten",101,0.00168,20.6,1.2,1.3,6.1,3.9,8.1,0.8,16.3,104,Colten Brewer
154,2023,605177,"Chafin, Andrew",87,-0.00655,12.7,1.4,1.1,3.8,3.0,5.1,0.7,11.6,921,Andrew Chafin
155,2023,605182,"Clevinger, Mike",94,-0.00259,19.7,1.9,1.4,4.4,6.0,4.7,0.9,13.5,2100,Mike Clevinger
156,2023,605200,"Davies, Zach",80,-0.01074,17.1,2.1,1.3,5.3,5.5,6.2,1.3,9.6,1497,Zach Davies
157,2023,605218,"Edwards Jr., Carl",106,0.00408,16.3,0.7,0.3,3.5,3.0,5.5,1.2,11.4,565,Carl Edwards Jr.
158,2023,605242,"Fulmer, Michael",113,0.00868,15.7,0.7,0.5,3.7,3.6,6.1,0.9,15.1,903,Michael Fulmer
